iter	MultiClass
0	1.362546745
1	1.339086406
2	1.316294221
3	1.294578939
4	1.272754484
5	1.251678522
6	1.231873453
7	1.212611503
8	1.19400152
9	1.176032559
10	1.158032486
11	1.140753157
12	1.123921155
13	1.107794409
14	1.091916637
15	1.076339961
16	1.061425072
17	1.046891658
18	1.032771405
19	1.018640801
20	1.005227678
21	0.9920037508
22	0.9792131875
23	0.9667405534
24	0.9542393882
25	0.9419975715
26	0.9302715983
27	0.9187206548
28	0.9072253578
29	0.8959451608
30	0.8849602302
31	0.8745803445
32	0.864219648
33	0.8541100125
34	0.8443826657
35	0.8347904723
36	0.8254642184
37	0.8157993277
38	0.8068102055
39	0.7978672779
40	0.7892033244
41	0.7805264017
42	0.772037854
43	0.7636691631
44	0.7555004864
45	0.7474960382
46	0.7398049273
47	0.7322037136
48	0.7244950678
49	0.7172403575
50	0.7098575751
51	0.7026670838
52	0.6955193425
53	0.6884471161
54	0.6815407086
55	0.6748357452
56	0.6682015239
57	0.6616356221
58	0.6554541634
59	0.6491467423
60	0.6429628417
61	0.6369410423
62	0.6310860252
63	0.6252500589
64	0.6194867414
65	0.6138868223
66	0.6082693283
67	0.6029187758
68	0.5975119413
69	0.5920854157
70	0.5870014418
71	0.5820297164
72	0.5768594308
73	0.5718276933
74	0.566853134
75	0.5621535322
76	0.5573591487
77	0.5527685832
78	0.5481251163
79	0.5435121083
80	0.5389473119
81	0.5345105073
82	0.5301142693
83	0.5257139337
84	0.5213950647
85	0.517225047
86	0.5132488347
87	0.5091619277
88	0.5050794085
89	0.5011047054
90	0.4971936205
91	0.4933740731
92	0.4896003952
93	0.4857653863
94	0.4821352327
95	0.4785578446
96	0.4749361752
97	0.4713690448
98	0.4678438576
99	0.4644888176
100	0.4612322846
101	0.4579092153
102	0.4547533173
103	0.4514962736
104	0.4482423294
105	0.4451405527
106	0.44192291
107	0.4387789019
108	0.4356183418
109	0.4325695871
110	0.4295419427
111	0.426586659
112	0.4236452875
113	0.4208578393
114	0.4179738851
115	0.415174243
116	0.4125239347
117	0.4097280243
118	0.4069632747
119	0.4043453998
120	0.401695346
121	0.3991978083
122	0.3965911266
123	0.3939973079
124	0.3914364368
125	0.389003196
126	0.3866857505
127	0.3843984352
128	0.3819716296
129	0.3796313041
130	0.3773037884
131	0.3749476699
132	0.3727487693
133	0.3705086283
134	0.3683080195
135	0.3661501342
136	0.3640900961
137	0.3618498764
138	0.3596858937
139	0.3575847107
140	0.3554524689
141	0.3534661449
142	0.3515012669
143	0.3495518946
144	0.3476220918
145	0.345692759
146	0.3437612775
147	0.3417941259
148	0.339926873
149	0.3380670879
150	0.336338828
151	0.334476389
152	0.3326541664
153	0.3308864038
154	0.3290500691
155	0.3272766175
156	0.3255292553
157	0.3238618668
158	0.3221647159
159	0.3205402198
160	0.3188782745
161	0.3172423626
162	0.3157123454
