iter	Passed	Remaining
0	9	5565
1	16	5018
2	24	4898
3	32	4874
4	40	4847
5	48	4780
6	56	4754
7	63	4705
8	71	4681
9	78	4650
10	86	4631
11	94	4623
12	104	4707
13	111	4683
14	119	4657
15	127	4640
16	135	4638
17	142	4621
18	150	4612
19	158	4601
20	166	4592
21	174	4572
22	181	4554
23	189	4541
24	197	4550
25	205	4541
26	213	4525
27	220	4506
28	228	4504
29	236	4494
30	244	4483
31	251	4468
32	258	4449
33	266	4434
34	274	4427
35	281	4411
36	289	4404
37	297	4394
38	300	4325
39	308	4319
40	316	4315
41	323	4303
42	331	4296
43	339	4288
44	346	4275
45	353	4262
46	361	4251
47	369	4245
48	378	4253
49	386	4246
50	395	4252
51	403	4252
52	412	4253
53	420	4254
54	429	4259
55	438	4263
56	446	4249
57	453	4235
58	460	4222
59	467	4209
60	475	4199
61	482	4189
62	490	4177
63	498	4173
64	505	4164
65	513	4152
66	520	4142
67	528	4135
68	536	4125
69	543	4112
70	550	4100
71	558	4093
72	565	4085
73	573	4074
74	580	4060
75	587	4049
76	595	4042
77	603	4038
78	611	4030
79	618	4020
80	625	4010
81	632	3995
82	639	3983
83	646	3972
84	653	3959
85	660	3948
86	667	3935
87	674	3923
88	682	3918
89	689	3906
90	696	3896
91	703	3883
92	710	3873
93	717	3862
94	724	3851
95	731	3840
96	737	3826
97	744	3815
98	752	3806
99	759	3799
100	768	3795
101	776	3792
102	783	3781
103	790	3770
104	797	3761
105	805	3755
106	813	3747
107	821	3740
108	828	3732
109	836	3724
110	842	3713
111	849	3702
112	856	3692
113	863	3683
114	870	3673
115	877	3663
116	884	3652
117	891	3643
118	898	3632
119	905	3620
120	912	3612
121	919	3603
122	926	3593
123	933	3583
124	940	3574
125	947	3563
126	954	3553
127	960	3543
128	968	3535
129	975	3525
130	982	3516
131	988	3506
132	996	3497
133	1003	3488
134	1010	3479
135	1017	3472
136	1025	3464
137	1033	3459
138	1040	3449
139	1047	3441
140	1054	3431
141	1061	3424
142	1068	3415
143	1075	3406
144	1082	3396
145	1089	3387
146	1096	3378
147	1103	3369
148	1110	3360
149	1116	3350
150	1124	3342
151	1131	3334
152	1139	3328
153	1146	3320
154	1155	3316
155	1163	3310
156	1170	3302
157	1177	3293
158	1184	3285
159	1191	3275
160	1199	3270
161	1206	3260
162	1213	3253
163	1220	3244
164	1227	3236
165	1234	3228
166	1241	3219
167	1248	3210
168	1256	3203
169	1263	3195
170	1270	3186
171	1276	3176
172	1283	3168
173	1290	3159
174	1297	3150
175	1303	3140
176	1310	3132
177	1317	3124
178	1324	3115
