iter	Passed	Remaining
0	10	3995
1	18	3676
2	28	3781
3	39	3897
4	48	3839
5	58	3833
6	67	3766
7	76	3738
8	84	3671
9	93	3645
10	101	3587
11	109	3538
12	117	3498
13	125	3457
14	134	3447
15	142	3414
16	150	3399
17	159	3384
18	168	3374
19	176	3355
20	184	3325
21	192	3315
22	201	3300
23	210	3303
24	218	3282
25	227	3276
26	236	3266
27	245	3264
28	254	3261
29	263	3244
30	271	3235
31	280	3222
32	288	3209
33	296	3190
34	304	3177
35	312	3162
36	319	3137
37	327	3118
38	334	3098
39	341	3077
40	348	3055
41	355	3034
42	363	3020
43	371	3008
44	380	3000
45	388	2992
46	397	2985
47	419	3074
48	428	3066
49	436	3054
50	444	3042
51	453	3037
52	463	3031
53	472	3027
54	481	3019
55	490	3011
56	499	3006
57	508	2996
58	515	2978
59	522	2963
60	531	2952
61	551	3004
62	572	3064
63	586	3080
64	595	3066
65	609	3083
66	618	3073
67	627	3063
68	636	3052
69	644	3038
70	654	3033
71	662	3017
72	670	3001
73	677	2986
74	686	2973
75	695	2965
76	704	2955
77	712	2941
78	720	2926
79	729	2916
80	739	2911
81	746	2896
82	755	2884
83	764	2875
84	774	2869
85	783	2860
86	793	2856
87	801	2843
88	811	2834
89	820	2827
90	829	2815
91	837	2804
92	846	2795
93	855	2783
94	863	2773
95	871	2760
96	880	2749
97	887	2736
98	895	2723
99	903	2710
100	911	2699
101	921	2692
102	929	2679
103	936	2664
104	943	2650
105	951	2637
106	958	2624
107	965	2610
108	972	2597
109	980	2584
110	987	2571
111	994	2558
112	1001	2543
113	1009	2531
114	1016	2520
115	1023	2506
116	1030	2493
117	1038	2481
118	1044	2467
119	1052	2455
120	1059	2441
121	1065	2428
122	1073	2416
123	1080	2404
124	1087	2392
125	1094	2380
126	1101	2368
127	1109	2357
128	1117	2347
129	1124	2336
130	1132	2325
131	1139	2314
132	1147	2303
133	1154	2292
134	1162	2281
135	1169	2270
136	1177	2260
137	1184	2249
138	1192	2239
139	1200	2229
140	1207	2218
141	1215	2208
142	1223	2199
143	1231	2188
144	1238	2178
145	1246	2168
146	1269	2184
147	1277	2174
148	1284	2164
149	1291	2152
150	1298	2141
151	1305	2130
152	1313	2120
153	1320	2109
154	1327	2098
155	1334	2087
156	1342	2077
157	1349	2067
158	1356	2056
159	1363	2045
160	1371	2035
161	1378	2024
162	1385	2014
163	1393	2004
164	1400	1994
165	1407	1984
166	1414	1974
167	1422	1963
168	1429	1953
169	1437	1944
170	1444	1934
171	1452	1924
172	1459	1915
173	1467	1905
174	1474	1895
175	1481	1885
176	1489	1876
177	1497	1867
178	1504	1857
179	1511	1847
180	1518	1837
181	1525	1827
182	1533	1818
183	1541	1809
184	1548	1799
185	1555	1790
186	1562	1780
187	1570	1770
188	1577	1761
189	1585	1752
190	1592	1742
191	1600	1733
192	1607	1723
193	1614	1714
194	1622	1705
195	1629	1695
196	1637	1687
197	1644	1677
198	1651	1667
199	1658	1658
200	1665	1648
201	1672	1639
202	1679	1629
203	1686	1620
204	1693	1611
205	1701	1602
206	1708	1593
207	1716	1584
208	1723	1574
209	1730	1565
210	1737	1556
211	1744	1547
212	1751	1537
213	1759	1528
214	1766	1519
215	1773	1510
216	1780	1501
217	1787	1491
218	1793	1482
219	1800	1473
220	1808	1464
221	1814	1455
222	1822	1446
223	1829	1437
224	1835	1427
225	1842	1418
226	1849	1409
227	1856	1400
228	1863	1391
229	1871	1383
230	1880	1375
231	1890	1368
232	1900	1362
233	1910	1355
234	1921	1348
235	1930	1341
